syndrome_name,feature,n_disease,n_healthy,disease_mean,healthy_mean,disease_median,healthy_median,mean_difference,hedges_g,abs_hedges_g,mann_whitney_u,p_value,global_fdr_q_value,global_significant_fdr,within_disease_fdr_q_value,bootstrap_direction_stability,hedges_g_bootstrap_ci_lower,hedges_g_bootstrap_ci_upper,pds_effect_component,pds_sample_reliability,pds_reliability_component,pds_q_multiplier,pds_normalized,pds_signed,pds_absolute,pds_category,pds_within_disease_percentile
3-Methylglutaconic aciduria,inter_canthal_distance,9,1000,0.22275351744686825,0.2519521798745515,0.2199091483531475,0.2509773840301761,-0.029198662427683236,-1.8601162562284719,1.8601162562284719,524.0,4.930323069394516e-06,0.00012867998626865453,True,0.00021462772162583364,1.0,-2.2663534566067596,-1.397814398020408,0.7306209961644756,0.20148378124062294,0.8003709453101557,1.0,-0.584767817363609,-58.476781736360905,58.476781736360905,moderate,100.0
3-Methylglutaconic aciduria,eb_inter_distance,9,1000,0.1728682348582764,0.19508790491641834,0.1695950482574138,0.1946657550211888,-0.022219670058141933,-1.816717664110085,1.816717664110085,532.0,5.1510653190200075e-06,0.00013265185572707773,True,0.00021462772162583364,1.0,-2.2453884716421015,-1.3736776060709572,0.7203436128857627,0.20148378124062294,0.8003709453101557,1.0,-0.5765420983935108,-57.654209839351076,57.654209839351076,moderate,99.2
3-Methylglutaconic aciduria,forehead_height,9,1000,0.216697512117278,0.18424466493119035,0.2062411099799764,0.18577311847948408,0.03245284718608765,1.6298509370003411,1.6298509370003411,7726.0,0.0002105555417165521,0.0026727999065583132,True,0.002752104356735989,1.0,0.9290197867267921,2.387663463163259,0.6722984352338458,0.20148378124062294,0.8003709453101557,1.0,0.5380881341386516,53.80881341386517,53.80881341386517,moderate,98.0
3-Methylglutaconic aciduria,hairline_height,9,1000,0.216697512117278,0.18424466493119035,0.2062411099799764,0.18577311847948408,0.03245284718608765,1.6298509370003411,1.6298509370003411,7726.0,0.0002105555417165521,0.0026727999065583132,True,0.002752104356735989,1.0,0.9907208240595301,2.3647635842741677,0.6722984352338458,0.20148378124062294,0.8003709453101557,1.0,0.5380881341386516,53.80881341386517,53.80881341386517,moderate,98.0
3-Methylglutaconic aciduria,philtrum_width,9,1000,0.27687243134509115,0.30083607043358984,0.2769879010716198,0.29853820694786065,-0.02396363908849869,-1.5381534274871929,1.5381534274871929,492.0,4.134619934852887e-06,0.00011123977454713027,True,0.00021462772162583364,1.0,-1.885807282260055,-1.2317511812124013,0.6463922551239281,0.20148378124062294,0.8003709453101557,1.0,-0.5173535802747017,-51.73535802747017,51.73535802747017,moderate,96.8
3-Methylglutaconic aciduria,chin_pointedness_angle,9,1000,158.9953164431903,151.7238655812974,157.1602344445786,151.76310289603077,7.271450861892902,1.484350020782975,1.484350020782975,7989.0,6.118783601545789e-05,0.001008466186180695,True,0.0019121198754830592,1.0,1.0267514021433986,2.0054563526573603,0.6304574534818776,0.20148378124062294,0.8003709453101557,1.0,0.5045998280211239,50.45998280211239,50.45998280211239,moderate,96.0
3-Methylglutaconic aciduria,nose_bridge_width,9,1000,0.07451904518176646,0.07926453812946986,0.0736365412603742,0.07903582389870514,-0.004745492947703406,-1.4193656796606529,1.4193656796606529,1635.0,0.0009975206455446182,0.008860213318709682,True,0.007793130043317329,1.0,-2.1219494008295205,-0.6234388825497678,0.6104779114612902,0.20148378124062294,0.8003709453101557,1.0,-0.48860878308724237,-48.86087830872424,48.86087830872424,moderate,95.19999999999999
3-Methylglutaconic aciduria,outer_canthal_distance,9,1000,0.6047937192344096,0.6468154240267493,0.5999866564050419,0.645148017692251,-0.04202170479233969,-1.3966895085168183,1.3966895085168183,1107.0,9.703794243048287e-05,0.0014593404657507563,True,0.0024259485607620716,1.0,-1.8100600354056007,-0.9374284567308152,0.6033160759764915,0.20148378124062294,0.8003709453101557,1.0,-0.48287665805011826,-48.28766580501183,48.28766580501183,moderate,94.39999999999999
3-Methylglutaconic aciduria,canthal_to_pupillary_ratio,9,1000,0.5163529323733188,0.5538799842751869,0.5130777944946419,0.5521935516504053,-0.037527051901868114,-1.249401490674167,1.249401490674167,1182.0,0.00013800953200044841,0.0019237479767244504,True,0.002752104356735989,1.0,-1.5141771566404971,-0.9009603638612995,0.5543924783012658,0.20148378124062294,0.8003709453101557,1.0,-0.44371963193082414,-44.371963193082415,44.371963193082415,moderate,93.60000000000001
3-Methylglutaconic aciduria,eb_position_l,9,1000,0.2702056807208083,0.3580177983836356,0.2777351495448972,0.3520780657669819,-0.08781211766282732,-1.1562204863072725,1.1562204863072725,1483.0,0.0005285216108893729,0.005451833955627514,True,0.005081938566243971,1.0,-1.5945952934927754,-0.7852091326925448,0.5212905586730776,0.20148378124062294,0.8003709453101557,1.0,-0.4172258172264303,-41.722581722643035,41.722581722643035,moderate,92.80000000000001
